,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ust-Maya,0,RU,1580243149,97,60.42,134.53,-37.91,0.5
1,Kapaa,1,US,1580242946,68,22.08,-159.32,26.0,1.69
2,Esperance,90,AU,1580242946,100,-33.87,121.9,19.0,3.6
3,Lososina,27,RU,1580243153,94,49.0,140.31,-12.79,3.6
4,Rincon,20,US,1580243154,36,32.3,-81.24,17.22,4.1
5,Khasan,100,RU,1580243156,78,42.43,130.64,-6.15,1.8
6,Jamestown,90,US,1580243157,86,42.1,-79.24,1.11,4.1
7,Hasaki,75,JP,1580242953,100,35.73,140.83,15.0,7.7
8,Wattegama,97,LK,1580243159,93,6.8,81.48,20.19,1.56
9,Hermanus,100,ZA,1580243160,96,-34.42,19.23,18.33,2.24
10,Honiara,20,SB,1580243161,94,-9.43,159.95,25.0,0.8
11,Mahebourg,20,MU,1580243162,88,-20.41,57.7,23.0,1.0
12,Ponta Delgada,75,PT,1580243163,93,37.73,-25.67,18.0,5.7
13,Albany,90,US,1580243018,59,42.6,-73.97,2.78,5.1
14,Punta Arenas,40,CL,1580242956,53,-53.15,-70.92,12.0,14.9
15,Thompson,90,CA,1580242968,92,55.74,-97.86,-11.0,2.1
16,Tuatapere,96,NZ,1580243167,77,-46.13,167.68,17.78,0.45
17,Longyearbyen,100,SJ,1580243168,71,78.22,15.64,-16.0,1.0
18,Morant Bay,20,JM,1580243169,62,17.88,-76.41,29.0,4.6
19,Puerto Ayora,20,EC,1580243171,58,-0.74,-90.35,30.0,4.6
20,Nikolskoye,90,RU,1580243172,93,59.7,30.79,0.0,5.0
21,Port Alfred,0,ZA,1580242935,86,-33.59,26.89,18.33,1.34
22,Busselton,96,AU,1580242943,53,-33.65,115.33,18.89,2.17
23,Saskylakh,98,RU,1580243175,95,71.92,114.08,-25.86,3.6
24,Ciudad Lazaro Cardenas,6,MX,1580243176,42,17.96,-102.2,27.73,3.39
25,Saint-Pierre,0,RE,1580243177,78,-21.34,55.48,22.22,2.6
26,San Carlos,47,VE,1580243178,34,9.66,-68.58,35.69,1.1
27,Kibondo,100,TZ,1580243179,99,-3.59,30.72,17.15,0.06
28,Vardo,75,NO,1580243180,85,70.37,31.11,-8.0,2.6
29,Rikitea,100,PF,1580243181,79,-23.12,-134.97,26.59,5.2
30,Hobart,75,AU,1580243167,67,-42.88,147.33,17.22,5.1
31,College,20,US,1580243183,73,64.86,-147.8,-27.22,1.65
32,Hong Kong,20,HK,1580243173,50,22.29,114.16,12.0,4.6
33,Kapit,79,MY,1580243185,99,2.02,112.93,23.48,0.49
34,Sinnamary,89,GF,1580243186,82,5.38,-52.95,26.81,6.1
35,Vestmannaeyjar,0,IS,1580243188,61,63.44,-20.27,0.51,3.3
36,Tevriz,97,RU,1580243189,96,57.51,72.4,-22.32,2.94
37,Bethel,90,US,1580243043,59,41.37,-73.41,5.56,2.6
38,Fairmont,90,US,1580243191,69,39.49,-80.14,3.0,4.1
39,Broken Hill,0,AU,1580243192,28,-31.95,141.43,23.0,4.6
40,Leningradskiy,86,RU,1580243193,90,69.38,178.42,-24.47,3.73
41,George Town,20,MY,1580243194,83,5.41,100.34,28.0,2.1
42,Yellowknife,90,CA,1580243195,84,62.46,-114.35,-17.0,3.1
43,Bambous Virieux,20,MU,1580243196,88,-20.34,57.76,23.0,1.0
44,Mar del Plata,100,AR,1580243177,25,-38.0,-57.56,31.0,10.3
45,Qaanaaq,100,GL,1580243198,96,77.48,-69.36,-23.59,1.66
46,New Norfolk,75,AU,1580243199,67,-42.78,147.06,17.22,5.1
47,Cape Town,75,ZA,1580242964,88,-33.93,18.42,21.67,3.1
48,Te Anau,96,NZ,1580243202,86,-45.42,167.72,13.31,2.66
49,Arrecife,0,ES,1580243203,39,28.96,-13.55,18.0,2.6
50,'Ahuimanu,40,US,1580243204,65,21.44,-157.84,26.0,2.1
51,Tazovsky,100,RU,1580243206,95,67.47,78.7,-15.73,5.25
52,Kruisfontein,1,ZA,1580243207,82,-34.0,24.73,16.26,3.91
53,Kasungu,100,MW,1580243208,97,-13.03,33.48,18.51,1.58
54,Ushuaia,40,AR,1580243107,81,-54.8,-68.3,9.0,13.9
55,Avarua,0,CK,1580243211,83,-21.21,-159.78,28.0,3.6
56,Yendi,100,GH,1580243212,12,9.44,-0.01,28.29,1.45
57,Saint-Francois,90,FR,1580243213,65,46.42,3.91,8.0,6.2
58,Souillac,20,MU,1580243214,88,-20.52,57.52,23.0,1.0
59,Sabha,0,LY,1580243215,21,27.04,14.43,17.54,4.1
60,Ponta do Sol,20,PT,1580243217,67,32.67,-17.1,16.0,2.1
61,Port Lincoln,0,AU,1580243219,74,-34.73,135.87,19.94,2.7
62,Butaritari,100,KI,1580243220,82,3.07,172.79,28.24,8.38
63,Dudinka,75,RU,1580243221,78,69.41,86.18,-11.0,8.0
64,East London,0,ZA,1580242953,58,-33.02,27.91,21.53,3.68
65,Vaini,75,TO,1580242963,88,-21.2,-175.2,27.0,1.5
66,Hondo,57,JP,1580243226,87,32.45,130.2,10.0,4.02
67,Bluff,61,NZ,1580243227,77,-46.6,168.33,17.78,0.45
68,Lagoa,0,PT,1580243228,86,39.05,-27.98,17.41,7.91
69,Norman Wells,75,CA,1580242957,74,65.28,-126.83,-30.0,0.88
70,Atuona,0,PF,1580242943,81,-9.8,-139.03,26.9,6.53
71,Hualmay,79,PE,1580242970,64,-11.1,-77.61,24.98,4.19
72,Taoudenni,83,ML,1580243232,19,22.68,-3.98,21.8,4.49
73,Ormara,0,PK,1580243233,46,25.21,64.64,17.77,10.5
74,Praia da Vitoria,75,PT,1580243234,93,38.73,-27.07,18.0,9.9
75,Hoquiam,75,US,1580243235,93,46.98,-123.89,12.22,2.6
76,Adrar,0,MR,1580243236,20,20.5,-10.07,24.56,5.71
77,Severo-Kuril'sk,92,RU,1580243237,91,50.68,156.12,-5.69,2.25
78,Nishihara,90,JP,1580243238,72,26.18,127.76,17.0,6.7
79,Bonavista,100,CA,1580243239,86,48.65,-53.11,-0.56,0.45
80,High Rock,40,BS,1580243242,73,26.62,-78.28,23.0,5.1
81,Belchatow,75,PL,1580243243,79,51.37,19.36,3.33,3.6
82,Mizdah,0,LY,1580243244,54,31.45,12.98,11.64,2.62
83,Contamana,100,PE,1580243245,39,-7.33,-75.02,35.76,2.38
84,Fairbanks,20,US,1580243246,73,64.84,-147.72,-27.22,1.72
85,Broome,90,US,1580243247,86,42.25,-75.83,1.11,4.6
86,Boueni,38,YT,1580243248,88,-12.9,45.08,28.0,3.1
87,Barrow,40,US,1580243250,67,71.29,-156.79,-32.0,2.6
88,Port Blair,100,IN,1580243251,66,11.67,92.75,25.24,5.59
89,Arraial do Cabo,40,BR,1580243253,78,-22.97,-42.03,30.0,4.6
90,Mataura,30,NZ,1580243254,77,-46.19,168.86,17.78,0.45
91,Chokurdakh,100,RU,1580242975,96,70.63,147.92,-27.84,4.81
92,Zhangzhou,90,CN,1580243256,57,24.51,117.66,11.0,3.0
93,Guerrero Negro,0,MX,1580243258,27,27.98,-114.06,22.97,5.06
94,Sao Joao da Barra,20,BR,1580243259,62,-21.64,-41.05,30.0,7.2
95,Maniitsoq,3,GL,1580243260,65,65.42,-52.9,-13.9,2.64
96,Faanui,99,PF,1580243261,75,-16.48,-151.75,28.29,5.11
97,San Andres,20,CO,1580242967,62,12.58,-81.7,29.0,3.1
98,Vic,2,ES,1580243263,93,41.93,2.25,14.44,1.5
99,Arinos,100,BR,1580243264,88,-15.92,-46.11,24.38,1.17
100,Edd,0,ER,1580243265,56,13.93,41.69,25.68,3.84
101,Dikson,99,RU,1580243266,97,73.51,80.55,-24.85,6.11
102,Mount Isa,90,AU,1580243267,100,-20.73,139.5,23.0,6.7
103,Graham,90,US,1580243268,81,47.05,-122.29,11.0,2.6
104,Carnarvon,0,AU,1580243269,94,-24.87,113.63,24.0,8.7
105,Ridgecrest,75,US,1580243270,35,35.62,-117.67,15.56,1.5
106,Amboise,90,FR,1580243271,81,47.41,0.98,8.0,7.7
107,Bredasdorp,61,ZA,1580243272,77,-34.53,20.04,20.0,4.34
108,Luena,100,AO,1580243273,94,-11.78,19.92,18.49,0.85
109,Camacha,20,PT,1580243275,67,33.08,-16.33,16.0,2.6
110,Hjelset,100,NO,1580243276,58,62.78,7.48,1.67,3.6
111,Lebu,15,CL,1580243277,53,-37.62,-73.65,17.71,5.79
112,Tasiilaq,75,GL,1580243278,54,65.61,-37.64,-2.0,2.1
113,Srednekolymsk,100,RU,1580243279,90,67.45,153.68,-31.1,3.77
114,Eyl,67,SO,1580243280,74,7.98,49.82,24.08,12.6
115,Tessalit,0,ML,1580242984,13,20.2,1.01,23.23,3.95
116,Meulaboh,100,ID,1580243282,74,4.14,96.13,27.83,5.44
117,Deer Lake,90,CA,1580243283,85,49.17,-57.43,-4.0,5.1
118,Smithers,75,CA,1580243284,92,54.78,-127.17,-2.0,2.6
119,Kungurtug,7,RU,1580243285,77,50.6,97.52,-16.44,2.3
120,Pila,100,PL,1580243286,94,53.15,16.74,2.62,9.59
121,Puerto Penasco,0,MX,1580243287,62,31.32,-113.53,18.89,2.24
122,Namatanai,0,PG,1580243288,79,-3.67,152.43,28.39,6.59
123,Nizhneudinsk,100,RU,1580243289,91,54.91,99.03,-9.86,0.21
124,Mbini,40,GQ,1580243290,84,1.57,9.61,30.0,2.1
125,Hithadhoo,58,MV,1580243292,79,-0.6,73.08,27.32,5.73
126,Viedma,100,AR,1580243293,46,-40.81,-63.0,18.5,7.19
127,Khatanga,100,RU,1580243294,95,71.97,102.5,-21.41,2.46
128,Dingle,61,PH,1580243295,86,11.0,122.67,22.43,2.24
129,Progreso,40,MX,1580243296,43,21.28,-89.67,33.89,2.1
130,Chajul,22,GT,1580243297,76,15.49,-91.03,20.2,1.89
131,Beyla,94,GN,1580243299,18,8.68,-8.63,24.58,1.08
132,Yura,75,PE,1580243300,77,-16.25,-71.68,18.0,6.7
133,Omaruru,27,NA,1580243301,32,-21.43,15.93,24.72,4.01
134,Koumac,100,NC,1580243302,75,-20.57,164.28,24.95,1.84
135,Chui,0,UY,1580243303,53,-33.7,-53.46,24.74,4.21
136,Kohlu,0,PK,1580243304,55,29.9,69.25,4.27,2.53
137,Esik,90,KZ,1580243306,100,43.36,77.45,-8.0,1.0
138,Ishinomaki,100,JP,1580243308,83,38.42,141.3,8.73,10.34
139,Elko,90,US,1580243225,60,41.0,-115.5,7.22,2.6
140,Ndele,3,CF,1580243310,14,8.41,20.65,23.46,2.66
141,Geraldton,90,AU,1580243311,83,-28.77,114.6,21.0,7.2
142,Ketchikan,90,US,1580243312,75,55.34,-131.65,6.0,3.1
143,Salalah,0,OM,1580243313,20,17.02,54.09,19.0,3.1
144,Christchurch,100,NZ,1580243035,93,-43.53,172.63,21.11,2.1
145,Bengkulu,100,ID,1580243315,94,-3.8,102.27,23.5,1.99
146,Forestville,90,US,1580243167,42,38.85,-76.88,7.78,4.6
147,Stokmarknes,75,NO,1580243317,68,68.56,14.91,-1.0,13.9
148,Peterhead,42,GB,1580243318,88,57.51,-1.8,2.22,2.1
149,Los Llanos de Aridane,75,ES,1580243319,72,28.66,-17.92,18.0,3.1
150,Hilo,90,US,1580243320,73,19.73,-155.09,24.0,2.6
151,Tataouine,0,TN,1580243321,44,32.93,10.45,14.0,2.35
152,Syzran,100,RU,1580243322,96,53.16,48.47,-11.53,2.76
153,Airai,99,TL,1580243323,81,-8.93,125.41,20.41,2.31
154,Yulara,0,AU,1580243324,20,-25.24,130.99,29.0,4.6
155,Alofi,20,NU,1580243055,83,-19.06,-169.92,28.0,3.1
156,Kununurra,83,AU,1580243328,94,-15.77,128.73,27.0,1.5
157,Tuktoyaktuk,75,CA,1580243329,74,69.45,-133.04,-32.0,2.1
158,Urambo,100,TZ,1580243330,98,-5.07,32.05,17.63,1.64
159,Port-de-Bouc,80,FR,1580243331,71,43.4,4.98,12.78,7.2
160,Le Portel,78,FR,1580243332,86,50.71,1.58,5.56,6.7
161,Egvekinot,93,RU,1580243333,89,66.32,-179.17,-24.22,0.26
162,Provideniya,0,RU,1580243334,69,64.38,-173.3,-23.0,2.0
163,Gimli,95,CA,1580243336,96,50.63,-96.99,-9.44,1.76
164,Angoram,93,PG,1580243337,99,-4.06,144.07,22.95,1.07
165,Kolvereid,57,NO,1580243338,80,64.87,11.6,0.56,3.6
166,Mersa Matruh,20,EG,1580243339,71,31.35,27.25,13.0,2.6
167,Kaitangata,65,NZ,1580243340,71,-46.28,169.85,19.44,2.24
168,Cabo San Lucas,5,MX,1580243137,53,22.89,-109.91,26.11,3.6
169,Sao Filipe,68,CV,1580243342,56,14.9,-24.5,22.98,7.23
170,Walvis Bay,0,NA,1580243344,77,-22.96,14.51,18.0,2.1
171,Kodiak,90,US,1580243100,72,57.79,-152.41,-8.0,5.1
172,Ilulissat,40,GL,1580243346,49,69.22,-51.1,-16.0,3.6
173,Novobirilyussy,100,RU,1580243347,87,56.95,90.67,-6.4,3.49
174,Westerland,83,DE,1580243348,91,54.91,8.3,4.44,2.68
175,Avanuorri,0,NO,1580243349,72,71.0,24.66,-9.0,5.1
176,North Bend,90,US,1580243350,81,43.41,-124.22,12.78,7.7
177,Deputatsky,99,RU,1580243351,68,69.3,139.9,-30.88,1.99
178,Avera,1,US,1580243352,38,33.19,-82.53,17.22,2.6
179,Portimao,75,PT,1580243353,100,37.14,-8.54,14.44,1.5
180,Salyan,0,AZ,1580246657,83,39.59,48.98,5.32,1.03
181,Dongning,100,CN,1580246658,87,44.06,131.12,-11.85,0.48
182,Youhao,0,CN,1580246660,96,47.87,128.83,-21.94,1.15
183,Burns Lake,98,CA,1580246661,90,54.23,-125.75,-3.07,0.8
184,Inirida,88,CO,1580246662,58,3.87,-67.92,31.67,0.79
185,Puro,49,PH,1580246663,84,12.48,123.38,24.49,0.92
186,Saint Anthony,90,US,1580246664,78,45.02,-93.22,-6.0,1.14
187,Little Current,90,CA,1580246665,68,45.98,-81.92,-1.11,3.6
188,Palmer,90,US,1580246667,51,42.16,-72.33,3.33,3.1
189,Mogok,0,MM,1580246668,60,22.92,96.5,11.25,1.2
190,Pacific Grove,20,US,1580246669,59,36.62,-121.92,17.78,3.6
191,Verkh-Usugli,0,RU,1580246670,96,52.7,115.17,-19.46,0.32
192,Port Elizabeth,75,ZA,1580246404,88,-33.92,25.57,18.0,6.7
193,Opuwo,79,NA,1580246466,62,-18.06,13.84,23.26,1.54
194,Simplicio Mendes,99,BR,1580246673,90,-7.85,-41.91,25.32,1.32
195,Iqaluit,5,CA,1580246674,67,63.75,-68.51,-30.56,11.3
196,Aquidauana,85,BR,1580246676,47,-20.47,-55.79,31.87,2.43
197,Poronaysk,73,RU,1580246678,95,49.22,143.12,-13.36,1.81
198,Ribeira Grande,75,PT,1580246680,93,38.52,-28.7,17.0,3.1
199,Salinopolis,0,BR,1580246681,79,-0.61,-47.36,27.77,6.65
200,Sharon,90,US,1580246682,86,41.23,-80.49,1.11,3.6
201,Timra,90,SE,1580246683,100,62.49,17.33,1.0,3.6
202,Portland,90,US,1580246389,76,45.52,-122.68,11.11,3.6
203,Ostrovnoy,99,RU,1580246646,99,68.05,39.51,-15.28,2.5
204,San Patricio,20,MX,1580246601,69,19.22,-104.7,27.0,5.1
205,Flinders,40,AU,1580246687,83,-34.58,150.86,23.33,6.2
206,Aransas Pass,40,US,1580246688,64,27.91,-97.15,25.56,5.1
207,Kourou,75,GF,1580246689,78,5.16,-52.65,28.0,5.1
208,Berdigestyakh,15,RU,1580246692,99,62.1,126.7,-29.55,1.44
209,Cherskiy,100,RU,1580246693,97,68.75,161.3,-30.74,3.84
210,Itarema,100,BR,1580246696,77,-2.92,-39.92,26.64,2.56
211,Yerbogachen,100,RU,1580246621,92,61.28,108.01,-13.34,2.29
212,Manuk Mangkaw,95,PH,1580246698,80,4.8,119.85,27.23,3.69
213,Nyrob,22,RU,1580246699,98,60.73,56.72,-28.01,1.76
214,Upernavik,100,GL,1580246701,92,72.79,-56.15,-24.3,2.66
215,Sept-Iles,20,CA,1580246702,56,50.2,-66.38,-8.89,2.6
216,Laas,75,IT,1580246703,79,46.62,10.7,2.22,1.0
217,Timbiqui,100,CO,1580246704,86,2.77,-77.67,26.8,2.33
218,Saint-Philippe,75,RE,1580246533,73,-21.36,55.77,23.0,3.1
219,Clyde River,5,CA,1580246707,74,70.47,-68.59,-30.0,7.7
220,Cayhagan,58,PH,1580246708,82,9.67,122.43,25.49,1.58
221,Huarmey,95,PE,1580246709,63,-10.07,-78.15,24.93,3.81
222,Krasnosel'kup,97,RU,1580246710,95,65.7,82.47,-18.6,6.26
223,Oskarshamn,20,SE,1580246711,100,57.26,16.45,3.89,2.1
224,Evensk,100,RU,1580246712,95,61.95,159.23,-10.88,1.01
225,Slave Lake,1,CA,1580246713,92,55.28,-114.77,-8.0,2.1
226,Bathsheba,40,BB,1580246715,69,13.22,-59.52,28.0,5.7
227,General Roca,100,AR,1580246716,16,-39.03,-67.58,29.0,8.7
228,Hervey Bay,12,AU,1580246717,83,-25.3,152.85,26.0,1.5
229,Kiryat Gat,40,IL,1580246584,87,31.61,34.76,13.0,3.1
230,Acapulco de Juarez,5,MX,1580246490,62,16.86,-99.89,30.0,3.1
231,Jalu,0,LY,1580246720,52,29.03,21.55,13.78,1.81
232,Marawi,48,PH,1580246721,92,8.0,124.29,24.44,1.34
233,Medicine Hat,90,CA,1580246554,59,50.05,-110.67,4.44,3.1
234,Tambura,78,SS,1580246624,19,5.6,27.47,20.68,1.27
235,Tiksi,99,RU,1580246522,87,71.69,128.87,-30.08,1.72
236,Kidal,62,ML,1580246726,8,18.44,1.41,23.74,3.94
237,Cockburn Town,40,TC,1580246728,69,21.46,-71.14,28.0,4.1
238,Mafinga,100,TZ,1580246729,96,-7.25,35.07,18.78,0.63
239,Mount Gambier,90,AU,1580246730,100,-37.83,140.77,11.0,2.6
240,Nioro,52,GM,1580246622,15,13.35,-15.75,28.55,1.21
241,Zyryanka,57,RU,1580246733,100,65.75,150.85,-34.08,1.0
242,Black River,20,JM,1580246734,78,18.03,-77.85,28.89,1.0
243,Mana,76,GF,1580246735,75,5.66,-53.78,27.13,2.63
244,Roseburg,90,US,1580246686,66,43.22,-123.34,12.22,6.7
245,Ugoofaaru,9,MV,1580246465,71,5.67,73.0,27.38,4.85
246,Gizo,100,SB,1580246738,82,-8.1,156.84,26.9,3.51
247,Richards Bay,86,ZA,1580246677,80,-28.78,32.04,23.64,7.26
248,Rawson,0,AR,1580246658,67,-43.3,-65.1,15.73,4.28
249,Yeppoon,90,AU,1580246742,94,-23.13,150.73,25.0,3.1
250,Pisco,90,PE,1580246743,30,-13.7,-76.22,23.33,5.7
251,Prata,47,BR,1580246744,83,-19.31,-48.92,26.53,1.75
252,Ahipara,71,NZ,1580246645,100,-35.17,173.17,21.67,1.61
253,Havre-Saint-Pierre,1,CA,1580246746,72,50.23,-63.6,-10.0,3.1
254,Berlevag,75,NO,1580246747,66,70.86,29.09,-9.0,5.7
255,Muroto,20,JP,1580246748,66,33.28,134.15,11.0,5.7
256,Tolaga Bay,1,NZ,1580246749,79,-38.37,178.3,20.97,2.34
257,Pangnirtung,20,CA,1580246720,68,66.15,-65.71,-29.0,2.1
258,Laguna,90,US,1580246751,71,38.42,-121.42,17.0,3.1
259,Yinzhu,75,CN,1580246752,82,35.88,119.98,2.0,4.0
260,Lavrentiya,0,RU,1580246753,81,65.58,-171.0,-24.77,3.84
261,Iroquois Falls,90,CA,1580246755,85,48.77,-80.68,-11.0,4.1
262,Torbay,90,CA,1580246756,100,47.67,-52.73,-0.56,2.1
263,Indramayu,100,ID,1580246758,81,-6.33,108.32,26.45,1.53
264,Karratha,37,AU,1580246759,81,-20.74,116.85,28.88,7.21
265,Ubari,0,LY,1580246760,11,26.59,12.78,18.14,4.25
266,Constitucion,28,CL,1580246761,67,-35.33,-72.42,18.97,8.52
267,Olavarria,67,AR,1580246762,41,-36.89,-60.32,29.44,1.79
268,Tommot,22,RU,1580246763,95,58.96,126.29,-22.35,1.03
269,Mae Sai,0,TH,1580246764,100,20.43,99.88,10.56,0.99
270,Alyangula,40,AU,1580246610,83,-13.85,136.42,27.0,6.2
271,Saldanha,40,ZA,1580246605,82,-33.01,17.94,19.0,5.1
272,Taungdwingyi,0,MM,1580246767,49,20.02,95.55,14.93,1.55
273,Hukuntsi,0,BW,1580246636,18,-24.0,21.75,24.97,0.78
274,Osakarovka,90,KZ,1580246769,99,50.56,72.57,-23.72,5.27
275,Vao,100,NC,1580246526,72,-22.67,167.48,24.78,6.22
276,Kavieng,66,PG,1580246771,76,-2.57,150.8,28.92,3.7
277,Ixtapa,20,MX,1580246528,65,20.7,-105.2,26.0,5.1
278,Srikakulam,30,IN,1580246775,91,18.3,83.9,22.18,1.02
279,Xifeng,100,CN,1580246776,95,42.74,124.72,-13.09,2.08
280,Faya,0,SA,1580246777,81,18.39,42.45,12.0,2.1
281,Cidreira,78,BR,1580246778,79,-30.18,-50.21,23.78,7.73
